python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode  4550 | Slices: 200 | Avg Reward:  135671.85 | Avg Energy:  32513.23 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4600 | Slices: 200 | Avg Reward:  135667.73 | Avg Energy:  32497.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4650 | Slices: 200 | Avg Reward:  135668.87 | Avg Energy:  32594.66 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4700 | Slices: 200 | Avg Reward:  135658.09 | Avg Energy:  32623.86 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4750 | Slices: 200 | Avg Reward:  135612.38 | Avg Energy:  32688.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4800 | Slices: 200 | Avg Reward:  135699.21 | Avg Energy:  32551.84 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4850 | Slices: 200 | Avg Reward:  135611.44 | Avg Energy:  33078.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4900 | Slices: 200 | Avg Reward:  135564.20 | Avg Energy:  32893.22 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4950 | Slices: 200 | Avg Reward:  135690.81 | Avg Energy:  32559.02 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5000 | Slices: 200 | Avg Reward:  135720.92 | Avg Energy:  32342.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5050 | Slices: 200 | Avg Reward:  135642.80 | Avg Energy:  32770.92 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5100 | Slices: 200 | Avg Reward:  135681.80 | Avg Energy:  32610.22 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5150 | Slices: 200 | Avg Reward:  135738.46 | Avg Energy:  32484.40 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5200 | Slices: 200 | Avg Reward:  135625.65 | Avg Energy:  32845.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5250 | Slices: 200 | Avg Reward:  135707.34 | Avg Energy:  32624.00 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5300 | Slices: 200 | Avg Reward:  135742.87 | Avg Energy:  32430.10 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5350 | Slices: 200 | Avg Reward:  135692.22 | Avg Energy:  32791.56 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5400 | Slices: 200 | Avg Reward:  135708.97 | Avg Energy:  32348.54 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5450 | Slices: 200 | Avg Reward:  135675.92 | Avg Energy:  32521.68 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5500 | Slices: 200 | Avg Reward:  135604.70 | Avg Energy:  32799.77 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5550 | Slices: 200 | Avg Reward:  135650.55 | Avg Energy:  32663.46 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5600 | Slices: 200 | Avg Reward:  135674.45 | Avg Energy:  32481.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5650 | Slices: 200 | Avg Reward:  135638.56 | Avg Energy:  32676.15 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5700 | Slices: 200 | Avg Reward:  135672.66 | Avg Energy:  32611.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5750 | Slices: 200 | Avg Reward:  135639.79 | Avg Energy:  32834.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5800 | Slices: 200 | Avg Reward:  135671.63 | Avg Energy:  32564.00 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5850 | Slices: 200 | Avg Reward:  135657.82 | Avg Energy:  32718.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5900 | Slices: 200 | Avg Reward:  135670.71 | Avg Energy:  32575.84 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  5950 | Slices: 200 | Avg Reward:  135623.91 | Avg Energy:  32817.55 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6000 | Slices: 200 | Avg Reward:  135631.40 | Avg Energy:  32774.83 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6050 | Slices: 200 | Avg Reward:  135641.20 | Avg Energy:  32930.64 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6100 | Slices: 200 | Avg Reward:  135578.55 | Avg Energy:  32877.74 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6150 | Slices: 200 | Avg Reward:  135656.85 | Avg Energy:  32584.93 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6200 | Slices: 200 | Avg Reward:  135699.21 | Avg Energy:  32574.61 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6250 | Slices: 200 | Avg Reward:  135617.85 | Avg Energy:  32843.71 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6300 | Slices: 200 | Avg Reward:  135725.75 | Avg Energy:  32433.42 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6350 | Slices: 200 | Avg Reward:  135628.88 | Avg Energy:  32690.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6400 | Slices: 200 | Avg Reward:  135610.43 | Avg Energy:  32670.52 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6450 | Slices: 200 | Avg Reward:  135701.03 | Avg Energy:  32642.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6500 | Slices: 200 | Avg Reward:  135672.93 | Avg Energy:  32446.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6550 | Slices: 200 | Avg Reward:  135622.12 | Avg Energy:  32722.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6600 | Slices: 200 | Avg Reward:  135691.67 | Avg Energy:  32336.58 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6650 | Slices: 200 | Avg Reward:  135622.05 | Avg Energy:  32826.53 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6700 | Slices: 200 | Avg Reward:  135637.75 | Avg Energy:  32831.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6750 | Slices: 200 | Avg Reward:  135623.94 | Avg Energy:  33045.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6800 | Slices: 200 | Avg Reward:  135651.98 | Avg Energy:  32732.95 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
